s,desired_out
行者道：「我與你都上壇祈雨，知雨是你的，是我的？不見是誰的功績了。」,行者:道:虎力大仙
八戒聞言大怒，罵道：「你這潑物，全沒一些兒眼力！我老豬還掐出水沫兒來哩，你怎敢說我粗糙，要剁鮓醬！看起來，你把我認做個老走硝哩。休得無禮！喫你祖宗這一鈀！」,八戒:罵道:妖精
戰兢兢坐不穩雕鞍，急回頭，忙呼徒弟道：「你聽那樵夫報道：『此山有毒魔狠怪。』誰敢去細問他一問？」,三藏:呼道:行者
國王笑道：「你看這和尚說話，終不然朕當怕他？」,國王:笑道:三藏
三藏道：「你纔與妖精交戰何如？」,三藏:道:八戒
叫：「老高，你還好生管待我師父，我去也。」,行者:叫:太公
菩薩道：「我這錫杖，是那：銅鑲鐵造九連環，九節仙籐永駐顏。入手厭看青骨瘦，下山輕帶白雲還。摩訶五祖遊天闕，羅蔔尋娘破地關。不染紅塵些子穢，喜伴神僧上玉山。」,菩薩:道:唐王
行者聞言，他心中有物的人，忙答道：「不曾！不曾！我們是打上路來的。」,行者:答道:鎮元大仙
那猴道：「這山頂上有我佛如來的金字壓帖。你只上山去將帖兒揭起，我就出來了。」,孫悟空:道:三藏
童兒道：「我只會念三官經、北斗經、消災經，不會念佛家經。」,童兒:道:行者
沙僧道：「是個燈草做的，想被一風捲去也。」,沙僧:道:行者
厲聲高叫：「鱖妹何在？」,怪物:高叫:鱖婆
「你們請的奶奶呢？」,小妖:問道:毫毛
天王道：「孩兒，你隨菩薩修行這幾年，想必也有些神通，切須在意。」,李天王:道:行者
玉帝傳旨，即命大力鬼王與天丁等眾，押至斬妖臺，將這廝碎剁其屍。,玉帝:命:大力鬼王
好怪物，側身躲過，慌了手腳，舉起一根滿堂紅，架住寶刀。,老妖:躲:小龍王
行者下來，與三藏、八戒、沙僧立在殿前，見那道士在滾油鍋裏打掙，爬不出來。,八戒:見:羊力大仙
行者吩咐山神、土地守護師父，日值功曹去尋齋供，他又去澗邊巡遶不題。,孫悟空:吩咐:山神、土地
那眾猴滿地飛來趕上，把個八戒，扛翻倒了，抓鬃扯耳，拉尾揪毛，捉將回去。,小猴:抓鬃扯耳，拉尾揪毛:八戒
悟空道：「但憑尊師教誨，只是有些道氣兒，弟子便就學了。」,孫悟空:道:菩提祖師
沙僧道：「『不信直中直，須防仁不仁。』我們打起火，開了門，看看如何，便是。」,沙僧:道:行者
又來拜了三藏，拜了行者與八戒，分了大小。,悟淨:拜:行者
行者仔細觀看，原來是太上李老君，慌得近前施禮道：「老官兒，那裏去？」,八戒:施禮道:太上老君
猴王道：「你知那三等人？」,美猴王:道:通背猿猴
卻說太宗設午朝，著魏徵齎旨，宣玄奘入朝。,唐王:著:魏徵
行者道：「既如此，且都住了，同候老孫行事。」,行者:道:天君
慌得那長老忙呼行者。,三藏:呼喚:行者
羊力大仙道：「等我嘗嘗。」,羊力大仙:道:老道士
八戒道：「忙忙的走路，且淨甚麼身子？」,八戒:道:行者
老魔道：「拿了誰？」,金角:道:銀角
走上前，將悟空頭上打了三下，倒背著手，走入裏面，將中門關了，撇下大眾而去。,菩提祖師:打 :孫悟空
那人道：「師父啊，我這一點冤魂，怎敢上你的門來？山門前有那護法諸天、六丁六甲、五方揭諦、四值功曹、一十八位護教伽藍，緊隨鞍馬。卻纔被夜遊神一陣神風，把我送將進來。他說我三年水災該滿，著我來拜謁師父。他說你手下有一個大徒弟，是齊天大聖，極能斬怪降魔。今來志心拜懇，千乞到我國中，拿住妖魔，辨明邪正。朕當結草銜環，報酬師父恩也！」,皇帝:道:三藏
行者道：「這山就是號山了。從此處到那妖精門首，約摸有四百餘里。」,行者:道:菩薩
行者道：「我纔試他一試耍子。此去一定拿來與你們看。且莫憂愁。」,行者:道:三藏
三藏迎來問道：「悟空，祭賽之事何如？」,三藏:問道:行者
行者不言語，側耳再聽，那師父挫得牙響，哏了一聲道：「自恨江流命有愆，生時多少水災纏。出娘胎腹淘波浪，拜佛西天墮渺淵。前遇黑河身有難，今逢冰解命歸泉。不知徒弟能來否，可得真經返故園？」,行者:聽:三藏
八戒笑道：「那老兒忒沒算計！春二三月好賞花園；這等大雪，又冷，賞玩何物！」,八戒:道:行者
道士云：「你想有些風病，一時間就胡說了。那些和尚，乃國王御賜，若放一二名，還要在師父處遞了病狀，然後補個死狀，纔了得哩。怎麼說都放了！此理不通！不通！且不要說我家沒人使喚，就是朝廷也要怪他。那裏長要差官查勘，或時御駕也親來點劄，怎麼敢放？」,道士:云:行者
即命獨角鬼王，領帥七十二洞妖王出陣，老孫領四健將隨後。,孙悟空:命:獨角鬼王
那怪道：「是你也不知我的手段！上前來站穩著，我說與你聽：我自小生來心性拙，貪閑愛懶無休歇。不曾養性與修真，混沌迷心熬日月。忽然閑裏遇真仙，就把寒溫坐下說。勸我回心莫墮凡，傷生造下無邊孽。有朝大限命終時，八難三途悔不喋。聽言意轉要修行，聞語心回求妙訣。有緣立地拜為師，指示天關並地闕。得傳九轉大還丹，工夫晝夜無時輟。上至頂門泥丸宮，下至腳板湧泉穴。周流腎水入華池，丹田補得溫溫熱。嬰兒姹女配陰陽，鉛汞相投分日月。離龍坎虎用調和，靈龜吸盡金烏血。三花聚頂得歸根，五氣朝元通透徹。功圓行滿卻飛昇，天仙對對來迎接。朗然足下彩雲生，身輕體健朝金闕。玉皇設宴會群仙，各分品級排班列。敕封元帥管天河，總督水兵稱憲節。只因王母會蟠桃，開宴瑤池邀眾客。那時酒醉意昏沉，東倒西歪亂撒潑。逞雄撞入廣寒宮，風流仙子來相接。見他容貌挾人魂，舊日凡心難得滅。全無上下失尊卑，扯住嫦娥要陪歇。再三再四不依從，東躲西藏心不悅。色胆如天叫似雷，險些震倒天關闕。糾察靈官奏玉皇，那日吾當命運拙。廣寒圍困不通風，進退無門難得脫。卻被諸神拿住我，酒在心頭還不怯。押赴靈霄見玉皇，依律問成該處決。多虧太白李金星，出班俯顖親言說。改刑重責二千鎚，肉綻皮開骨將折。放生遭貶出天關，福陵山下圖家業。我因有罪錯投胎，俗名喚做豬剛鬣。」,怪:道:行者
行者道：「不停當；你坐在這裏看守，等我跑過澗去打聽打聽。」,行者:道:沙僧
行者道：「師父莫怪，你且來看看這餱子裏是甚東西。」,行者:道 :三藏
卻說行者素性兇頑，忍不住，上前高叫道：「那老兒，你這們大年紀，全不曉事。我出家人遠來借宿，就把這厭鈍的話虎諕我。十分你家窄狹，沒處睡時，我們在樹底下，好道也坐一夜，不打攪你。」,行者:高叫道:老者
行者道：「你快早進去報與你那潑魔，說者行孫來了。」,行者:道:小妖
妖魔道：「不打緊；你請起來，我這裏有件寶貝，只在你那疼上摸一摸兒，就不疼了。卻要仔細，休使大指兒彈著；若使大指兒彈著啊，就看出我本相來了。」,老妖:道:行者
那魔道：「這猴子，你這等頭硬，我不砍你；且帶你回去，再打你。將我那兩件寶貝趁早還我！」,銀角:道:銀角
行者道：「你也忒自重了，更不讓我遠鄉之僧。——也罷，這正是『強龍不壓地頭蛇』。先生先去，必須對君前講開。」,行者:道:虎力大仙
三藏叫道：「徒弟呀，山路崎嶇，甚是難走，卻又松林叢簇，樹木森羅，切須仔細！恐有妖邪妖獸。」,三藏:叫道:八戒、沙僧
行者把師父送在那高阜上坐了，卻來牽馬挑擔，止存得一擔行李，不見了馬匹。,孫悟空:送:三藏
小妖道：「把這寶貝的底兒朝天，口兒朝地，叫他一聲，他若應了，就裝在裏面；貼上一張『太上老君急急如律令奉敕』的帖子，他就一時三刻，化為膿了。」,精細鬼:道:行者
玉帝傳旨道：「那孫悟空乃下界妖仙，初得人身，不知朝禮，且姑恕罪。」,玉皇大帝:傳旨道:仙卿們
國王大驚，即著當駕太師領他往文華殿裏梳洗去了。,國王:著:太師
端坐在壁巖之上，變作一個「假觀世音」模樣，等候著八戒。,紅孩兒:等:八戒
八戒道：「說得是，你快去快來。」,八戒:道:行者
老妖道：「認你父王。我是他駙馬，他是我丈人，怎麼不去認認？」,老妖:道:公主
行者大驚，走近前，把唐僧搊著腳，推下馬來，叫：「兄弟們，不要走了，妖怪來矣。」,唐僧:叫道:八戒、沙僧
太宗道：「求證善事，有勞法師，無物酬謝。早間蕭瑀迎著二僧，願送錦襴異寶袈裟一件，九環錫杖一條。今特召法師領去受用。」,唐王:道:玄奘
——徑撞進去，見唐僧道：「師父，來了！來了！」,行者:道:三藏
那精細鬼交了葫蘆，伶俐蟲拿出淨瓶，一齊兒遞與行者。,精細鬼、伶俐蟲:遞與:行者
諕得多官連忙解了八戒，跪地哀告：「恕罪！恕罪！」,兩班文武:解開:八戒
你思量，那猴子好不溜撒，把那寶貝一口吸在肚裏，那妖魔揝著拳頭就打，被行者一手隔住，把臉抹了一抹，現出本相，道聲「妖怪！不要無禮！你且認認看！我是誰？」,老妖:打:行者
童子道：「三清是家師的朋友，四帝是家師的故人；九曜是家師的晚輩，元辰是家師的下賓。」,清風、明月:道:三藏
二魔道：「孫行者。你來看，你來看。」,銀角:道:金角
菩薩坐定道：「悟空，我這瓶中甘露水漿，比那龍王的私雨不同：能滅那妖精的三昧火。待要與你拿了去，你卻拿不動；待要著善財龍女與你同去，你卻又不是好心，專一只會騙人。你見我這龍女貌美，淨瓶又是個寶物，你假若騙了去，卻那有工夫又來尋你？你須是留些甚麼東西作當。」,菩薩:道:行者
三藏道：「袈裟何在？敢莫是燒壞了也？」,三藏:道:孫悟空
望菩薩劈臉刺來。,妖王:劈:菩薩
那老君收了金鋼琢，請玉帝同觀音、王母、眾仙等，俱回靈霄殿。,太上老君:請:玉帝、觀音、王母、眾仙
眾僧道：「不是！不是！那老爺我們認得他。」,眾僧:道:行者
八戒道：「師父想你，著我來請你的。」,八戒:道:行者
孫行者高呼：「老鄧！仔細替我看那貪贓壞法之官，忤逆不孝之子，多打死幾個示眾！」,行者:高呼:員官
菩薩帶引木叉行者過了此山，又奔東土。,菩薩:帶引:木叉
那怪道：「師父，不須你助功。我二大王有些法術，遣了三座大山把他壓在山下，寸步難移，教我兩個拿寶貝來裝他的。」,精細鬼:道:行者
老者道：「今年正到舍下。我們這裏，有百家人家居住。此處屬車遲國元會縣所管，喚做陳家莊。這大王一年一次祭賽，要一個童男，一個童女，豬羊牲醴供獻他。他一頓喫了，保我們風調雨順；若不祭賽，就來降禍生災。」,老者:道:行者
大聖道：「我記得當年玉帝妹子思凡下界，配合楊君，生一男子，曾使斧劈桃山的，是你麼？我行要罵你幾聲，曾奈無甚冤仇；待要打你一棒，可惜了你的性命。你這郎君小輩，可急急回去，喚你四大天王出來。」,孫悟空:道:二郎真君
行者道：「老孫可是那當面騙物之人？這叫做『好借好還，再借不難。』」,孫悟空:道:天王
哪吒喝道：「潑妖猴！豈不認得我？我乃托塔天王三太子哪吒是也。今奉玉帝欽差，至此捉你。」,哪吒:喝道:孙悟空
對三藏拜了四拜，急起身，與伯欽唱個大喏道：「有勞大哥送我師父，又承大哥替我臉上薅草。」,孫悟空:道:伯欽
這老者道：「這位老爺纔然說話，怎麼就變作我兒一般模樣，叫他一聲，齊應齊走！——卻折了我們年壽！請現本相！請現本相！」,老者:道:三藏
行者道：「第一件是看師父，第二件是去巡山。」,行者:道:八戒
將精細鬼、伶俐蟲一聲喝起。,銀角:喝起:精細鬼、伶俐蟲
行者回轉高崖道：「兄弟們，辛苦啊。」,行者:道:八戒、沙僧
木叉道：「我把你個肉眼凡胎的潑物！我是南海菩薩的徒弟。這是我師父拋來的蓮花，你也不認得哩！」,木叉:道:妖魔
那龍王敖順，即領眾水族，出宮迎接道：「大聖，請入小宮少座，獻茶。」,龍王:道:行者
僧官道：「怎的模樣？」,僧官:道:道人
八戒卻同行者到高岸上，見了三藏。,八戒:見:三藏
行者道：「不是這等說。今日我的父母，隔著牆，丟磚料瓦的，甚是打我罵我哩。」,行者:道:怪
哭久，老魔拜下，備言前事。,金角:備言:狐阿七大王
劉小二道：「他原在我店中。後來昏了眼，三四年並無店租還我，如今在南門頭一個破瓦窰裏，每日上街叫化度日。那客官一去許久，到如今杳無信息，不知為何。」,劉小二:道:玄奘
三藏道：「呀！他的軍令大，真個殺了我，怎麼好？」,三藏:道:行者
八戒道：「往老陳家睡覺去。」,八戒:道:行者
行者道：「造化！造化！但不知他怎的樣喫哩？」,行者:道:樵子
三藏道：「承老母盛賜；但只是我徒弟已走了，不敢領受。」,三藏:道:老母
那小的們，又端了碗，盛一碗遞與八戒。,小的:遞與:八戒
慌得那小妖跌將進去道：「孫行者打破門了！」,小妖:道:妖王
原來行者在他耳根後，句句兒聽著哩；忍不住，飛將起來，又琢弄他一琢弄。,行者:琢弄:八戒
妖王躬身道：「孩兒不才，昨日獲得一人，乃東土大唐和尚。常聽得人講，他是一個十世修行之人，有人喫他一塊肉，壽似蓬瀛不老仙。愚男不敢自食，特請父王同享唐僧之肉，壽延千紀。」,妖王:道:行者
那怪物聞言，那裏肯信，舉起火尖鎗就刺。,紅孩兒:刺:行者
行者釘在皮袋，又聽得他惡言惡語罵道，妖怪長，妖怪短，「你怎麼假變作個觀音菩薩，哄我回來，吊我在此，還說要喫我！有一日我師兄：大展齊天無量法，滿山潑怪等時擒！解開皮袋放我出，築你千鈀方趁心！」,八戒:罵道:紅孩兒
龍王道：「承降！承降！」,龍王:道:孫悟空
小龍接了刀，就留心，在那酒席前，上三下四，左五右六，丟開了花刀法。,小龍王:接了:老妖
僧官道：「古人云：『老虎進了城，家家都閉門。雖然不咬人，日前壞了名。』」,僧官:道:三藏
這長老兜回俊馬，叫道：「那有難者是甚人？可出來。」,三藏:叫道:銀角
八戒道：「正是，正是，昧了罷。」,八戒:道:沙僧
那行者掣了鐵棒，喝聲叫「拿了！」,行者:喝聲:八戒
行者道：「『日久見人心。』前日老孫只偷了三個，那一個落下地來，土地說這寶遇土而入，八戒只嚷我打了偏手，故走了風信，只纏到如今，纔見明白。」,行者:道 :清風、明月
卻說那老怪又喚二魔道：「兄弟，你既拿了八戒，斷然就有唐僧。再去巡巡山來，切莫錯過他去。」,金角:道:銀角
大聖聲聲道：「願去！願去！」,孫悟空:道:菩薩
那怪方纔醒悟道：「我記得你跟南海觀音在紫竹林中修行，你為何來此？」,妖怪:道:木叉
醫官道：「皇上脈氣不正，虛而又數，狂言見鬼；又診得十動一代，五臟無氣，恐不諱只在七日之內矣。」,醫官:道:眾官
八戒道：「正是；趁早散了，各尋頭路，多少是好。那西天路無窮無盡，幾時能到得！」,八戒:道:行者
猴王道：「弟子乃東勝神洲傲來國花果山水簾洞人氏。」,美猴王:道:菩提祖師
三藏一見，連忙跳起身來，合掌當胸道：「女菩薩，你府上在何處住？是甚人家？有甚願心，來此齋僧？」,三藏:道:妖精
四猴道：「大王既有此神通，我們這鐵板橋下，水通東海龍宮。大王若肯下去，尋著老龍王，問他要件甚麼兵器，卻不趁心？」,四個老猴:道:孫悟空
八戒聽言，在裏面罵道：「潑怪物！十分無禮！若論你百計千方，騙了我喫，管教你一個個遭腫頭天瘟！」,八戒:罵道:紅孩兒
那夜叉聽說，急轉水晶宮傳報道：「大王，外面有個花果山天生聖人孫悟空，口稱是大王緊鄰，將到宮也。」,夜叉:報道:東海龍王
正說話處，有一個小和尚，名喚廣智，出頭道：「公公，要得長遠，也容易。」,廣智:出頭道:老僧
悟空笑道：「小太子，你的嬭牙尚未退，胎毛尚未乾，怎敢說這般大話？我且留你的性命，不打你。你只看我旌旗上是甚麼字號，拜上玉帝：是這般官銜，再也不須動眾，我自皈依；若是不遂我心，定要打上靈霄寶殿。」,孙悟空:笑道:哪吒
那妖精卻纔慌了，扳著刀尖，痛聲苦告道：「菩薩，我弟子有眼無珠，不識你廣大法力。千乞垂慈，饒我性命！再不敢恃惡，願入法門戒行也。」,妖王:道:菩薩
拜罷，三藏上廳高坐，教悟空放了他繩。,行者:放:怪
即命降了詔書，仍著金星領去。,玉皇大帝:著:太白金星
卻又拔下兩根毫毛，變作一個木魚兒，遞在他手裏道：「徒弟，須聽著。但叫道童，千萬莫出去；若叫和尚，你就與我頂開櫃蓋，敲著木魚，念一卷佛經鑽出來，方得成功也。」,行者:遞:童兒
八戒戰兢兢的道：「兄弟，你怎麼今日說起話來了？你但說話，必有大不祥之事。」,八戒:道:小龍王
八戒道：「阿彌陀佛！是那位哥哥積陰德的？果是不好蒸。」,八戒:道:小妖
諸菩薩聞言，合掌皈依。,諸菩薩:合掌皈依:如來佛祖
八戒道：「不羞！不羞！本身難脫，還想救人。罷！罷！罷！師徒們都在一處死了，好到陰司裏問路！」,八戒:道:行者
拱著手，高呼道：「國師，恕大膽，占先了。」,國王:高呼道:行者
捋起衣袖，左膊上，取下一個圈子，說道：「這件兵器，乃錕鋼搏煉的，被我將還丹點成，養就一身靈氣，善能變化，水火不侵，又能套諸物；一名『金鋼琢』，又名『金鋼套』。當年過函關，化胡為佛，甚是虧他。早晚最可防身。等我丟下去打他一下。」,太上老君:說道:菩薩
教四健將：「就替我快置個旌旗，旗上寫『齊天大聖』四大字，立竿張掛。自此以後，只稱我為齊天大聖，不許再稱大王。亦可傳與各洞妖王，一體知悉。」,孫悟空:教:四健將
正嚷處，只見四五個女官，兩三個太監，扶著他，直至殿上。,女官、太監:扶:唐王
菩薩又喜道：「我前面也有二人歸降，正是『悟』字排行。你今也是『悟』字，卻與他相合，甚好，甚好。這等也不消叮囑，我去也。」,菩薩:道:孫悟空
行者辭了菩薩，按落雲頭，將袈裟掛在香柟樹上，掣出棒來，打入黑風洞裏。,孫悟空:辭了:菩薩
唐王聽說，點頭嘆曰：「善哉真善哉！作善果無災！善心常切切，善道大開開。莫教興惡念，是必少刁乖。休言不報應，神鬼有安排。」,唐王:點頭嘆曰:崔玨
好行者，拽開步，走近前觀看，那怪物：假變一婆婆，兩鬢如冰雪。,行者:觀看:妖精
眾妖道：「門外有一員天將，口稱大聖官銜，道：奉玉帝聖旨，來此收伏；教早早出去受降，免傷我等性命。」,眾妖:道:孫悟空
教行者拿了，背上馬看，可相稱否。,老者:教:三藏
你看他從袖子裏，卻像撮傀儡一般，把唐僧拿出，縛在正殿簷柱上；又拿出他三個，每一根柱上，綁了一個；將馬也拿出拴在庭下，與他些草料；行李拋在廊下；又道：「徒弟，這和尚是出家人，不可用刀鎗，不可加鈇鉞，且與我取出皮鞭來，打他一頓，與我人參果出氣！」,鎮元大仙:拿出:三藏、行者、 八戒、沙僧、馬
唐王見了，先教收拾行囊、馬匹，然後著官人執壺酌酒。,唐王:著:官人
行者道：「我當年在寺裏修行，曾遇著一個方上禪和子，教我一個砍頭法，不知好也不好，如今且試試新。」,行者:道:國王
菩薩道：「你這猴頭，只會說嘴。瓶兒你也拿不動，怎麼去降妖縛怪？」,菩薩:道:行者
眾僧俱滿口答應道：「有！有！有！更不曾一毫待怠慢了老爺。」,眾僧:道:孫悟空
三藏恨道：「我不管你！但是有些兒傷損，我只把那話兒念動念動，你就是死了！」,三藏:恨道:孫悟空
七衣仙女道：「我等奉旨前來，尋不見大聖，怎敢空回？」,七衣仙女:道:齊天府仙吏
老道士聞言，即叫：「掌燈來！看是甚麼邪物？」,老道士:叫:小道士
菩薩不答，連忙拿丹盤道：「大王，且見小道鄙意。」,菩薩:道:黑漢
玄奘答道：「我也不是自幼出家，我也不是中年出家，我說起來，冤有天來大，仇有海樣深！我父被人謀死，我母親被賊人佔了。我師父法明長老教我在江州衙內尋取母親。」,玄奘:答道:殷小姐
行者笑道：「兄弟，實不瞞你說：自從降了黃風怪，下山來，這個把月不曾耍棍，我見你和他戰的甜美，我就忍不住腳癢，故就跳將來耍耍的——那知那怪不識耍，就走了。」,行者:笑道:八戒
八戒道：「我的兒，你那裏認得老爺這鈀。我不比那築地之鈀。這是：巨齒鑄來如龍爪，滲金妝就似虎形。若逢對敵寒風洒，但遇相持火燄生。能替唐僧消障礙，西天路上捉妖精。輪動煙霞遮日月，使起昏雲暗斗星。築倒泰山老虎怕，掀翻大海老龍驚。饒你這妖有手段，一鈀九個血窟窿！」,八戒:道:銀角
眾臣道：「陛下寬心勿懼，有甚水災來？」,眾臣:道:唐王
老翁道：「你們走錯了路。你休尋他，各人顧命去也。」,老者:道:行者
行者笑道：「老官兒，憑你怎麼打，只要記得杖數明白。一杖一升米，慢慢量來。」,行者:笑道:老者
正行處，只見那山坡前，走出一個道人，手拿著一個玻璃盤兒，盤內安著兩粒仙丹，往前正走；被行者撞個滿懷，掣出棒，就照頭一下，打得腦裏漿流出，腔中血迸攛。,孫悟空:打:道人
太宗舉目而看，不是舊路，問判官曰：「此路差矣？」,唐王 :問曰:崔玨
魏徵道：「不是弄鬼，此乃陛下還魂也。快取器械來！」,魏徵:道:徐茂功、秦瓊、敬德
行者笑道：「好乖兒女。也罷，也罷，向前開路，我和你去來。」,行者:笑道:小妖
好大聖，捻著訣，念聲咒語，對眾仙女道：「住！住！住！」,七衣仙女:道:孫悟空
那大仙驚罵道：「我把你這猢猴！怎麼弄手段搗了我的灶？」,鎮元大仙:罵道:行者
三藏教：「掌上燈來，讓你再看。」,三藏:教:老僧
伯欽聞得此說，沉吟了半晌道：「長老，寒家歷代以來，不曉得喫素；就是有些竹笋，採些木耳，尋些乾菜，做些豆腐，也都是獐鹿虎豹的油煎，卻無甚素處。有兩眼鍋灶，也都是油膩透了，這等奈何？反是我請長老的不是。」,伯欽:道:三藏
叫：「拿將來！」,行者:叫:小猴
三藏道：「悟空，那叫喚的可是悟能麼？」,三藏:道:行者
慌得個行者在雲端裏施禮道：「向蒙菩薩善言，果有唐朝僧到，揭了壓帖，救了我命，跟他做了徒弟。他卻怪我兇頑，我纔閃了他一閃，如今就去保他也。」,孫悟空:施禮道:菩薩
長老問：「怎麼醫？」,三藏:問:行者
行者慌忙跪下道：「弟子不敢催促，且請菩薩著衣登座。」,行者:跪下道:菩薩
行者叫道：「師父，天亮了，起來罷。」,孫悟空:叫道:三藏
大聖側身躲過，疾舉金箍棒，劈手相還。,孫悟空:側身躲過:二郎真君
國王大喜道：「寡人做了二十三年皇帝，更不曾看見活龍是怎麼模樣。你兩家各顯法力，不論僧道，但叫得來的，就是有功；叫不出的，有罪。」,國王:大喜道:行者
行者道：「我師有難，特來謁見菩薩。」,行者:道:二十四路諸天
話表齊天大聖被眾天兵押去斬妖臺下，綁在降妖柱上，刀砍斧剁，鎗刺劍刳，莫想傷及其身。,眾天兵:押:孫悟空
李定道：「張兄說得有理。但只是你那水秀，不如我的山青。」,李定:道:張稍
菩薩笑道：「你這猴子！你不遵教令，不受正果，若不如此拘係你，你又誑上欺天，知甚好歹！再似從前撞出禍來，有誰收管？——須是得這個魔頭，你纔肯入我瑜伽之門路哩！」,菩薩:笑道:孫悟空
老魔道：「說得是。」,金角:道:行者
南斗星奮令火部眾神，放火煨燒，亦不能燒著。,南斗星:令:火部眾神
那老者道：「這是個撞頭的和尚！」,老者:道:行者
獃子歡喜道：「哥呀！造化了！果有寶貝！是一片石板蓋著哩！不知是罈兒盛著，是櫃兒裝著哩。」,八戒:歡喜道:行者
那皇帝與三宮妃后、太子、諸臣，將鎮國的寶貝，金銀緞帛，獻與師父酬恩。,皇帝、三宮妃后、太子、諸臣:獻與:三藏
笑道：「好，好，好！收起！收起！把我們的也取出來看看。」,孫悟空:笑道:寺院主
那沙僧搬下行李，跑進廚房道：「哥哥，叫我怎的？」,沙僧:道:八戒
那眾僧見了，一個個戰兢兢的，上前跪下勸解，三藏纔合口不念。,眾僧:跪下:三藏
行者道：「沒事，有我哩。若到那緊關處，我自然護你。他若問時，你說是東土欽差上西天拜佛取經進寶的和尚。他道：『有甚寶貝？』你卻把錦襴袈裟對他說一遍，說道：『此是三等寶貝。還有頭一等、第二等的好物哩。』但問處，就說這匣內有一件寶貝，上知五百年，下知五百年，中知五百年，共一千五百年過去未來之事，俱盡曉得。卻把老孫放出來。我將那夢中話告誦那太子，他若是肯信，就去拿了那妖魔，一則與他父王報仇，二來我們立個名節；他若不信，再將白玉珪拿與他看。——只恐他年幼，還不認得哩。」,行者:道:三藏
仙女道：「既如此，尋他去來，不可遲悞。」,七衣仙女:道:土地
那龍王道：「遵命！遵命！」,龍王:道:行者
八戒道：「風來得緊，我們都藏頭遮眼，各自躲風，師父也伏在馬上的。」,八戒:道:沙僧
龍王道：「元帥原來不知。他本是烏雞國王的屍首；自到井中，我與他定顏珠定住，不曾得壞。你若肯馱他出去，見了齊天大聖，假有起死回生之意啊，莫說寶貝，憑你要甚麼東西都有。」,井龍王:道:八戒
