,s,summary,res
11,行者道：「不好說。這遠的路，來請奶奶，沒些兒賞賜，肚裏饑了，原帶來的乾糧，等我喫些兒再走。」,行者道轎夫,"行者道三藏、八戒、沙僧、雷公、電母、馬、鹿力大仙、铨、長老
"
12,行者道：「可曾經驗過麼？」,行者道菩薩,"行者道三藏、八戒、沙僧、驚、馬、長老、鯉財童子、酧天君、雷公
"
13,那怪道：「輕著些兒！你的手重，揪得我耳根子疼。」,怪道行者,"銀角道三藏、行者、 八戒、沙僧、馬、黑魚精、齊天府仙吏
"
14,如來即辭了玉帝眾神，與二尊者出天門之外，又發一個慈悲心，念動真言咒語，將五行山，召一尊土地神祇，會同五方揭諦，居住此山監押。,如來佛祖辭玉帝、眾神,"如來佛祖辭了玉帝眾神、二尊者、五方揭諦、居住步孫悟空
"
15,行者大驚，急抽身，忙呼八戒道：「兄弟，妖精又請救兵來也。」,八戒道行者,"孫悟空道八戒、沙僧、兩個勾死人、勾孙驚、滙母、齊天府仙吏
"
16,光蕊叩頭拜謝，龍王設宴相待不題。,光蕊叩頭拜謝龍王,"光蕊叩頭拜謝龍王設宴相待不題唐王 、 崔玨、 八戒、沙僧
"
17,怪物聞言，連聲喏喏；收了寶杖，讓木叉揪了去，見觀音納頭下拜。,妖怪納頭下拜菩薩,"妖魔揪三藏、行者、八戒、沙僧、馬、音納頭下拜觀角紅孩兒
"
18,行者趕得將近，喝道：「那怪物，那裏去！老孫來了也！」,行者喝道魔王,"行者喝道妖精、八戒、沙僧、鱖婆、黃、雷公、電母、鹿力大仙
"
19,二魔道：「哥哥，你說那裏話？我不知費了多少辛勤，施這計策，將那和尚都攝將來；如今似你這等怕懼孫行者的詭譎，就俱送去還他，真所謂畏刀避劍之人，豈大丈夫之所為也？你且請坐勿懼。我聞你說孫行者神通廣大，我雖與他相會一場，卻不曾與他比試。取披掛來，等我尋他交戰三合。假若他三戰勝我不過，唐僧還是我們之食；如三戰我不能勝他，那時再送唐僧與他未遲。」,銀角道金角,"銀角道小妖、尉遲童子、尾細鬼、尿秦頭士、尊門的魚白金星
"
20,悟空叩道：「只望師父恕罪！」,孫悟空叩道菩提祖師,"孫悟空叩道東海龍王、龍婆菩提祖師、蕭瑀、張道羊力大仙
"
21,上前叫：「列位請起。」,三藏叫僧眾,"上前叫唐王、 孫悟淨、崔玨、 八戒、沙僧、鱖婆、長老君
"
22,眾怪道：「大王，你沒手段，等我們著幾個去報大大王，教點起本洞大小兵來，擺開陣勢，合力齊心，怕他走了那裏去！」,小妖道銀角,"眾妖道孫悟空、精細鬼、伶俐蟲、徒弟，徐諸天與守山大小眷族
"
23,三藏在馬上忙呼道：「徒弟，你看那前邊水勢寬濶，怎不見船隻來往，我們從那裏過去？」,三藏道行者、八戒,"三藏呼道行者、八戒、沙僧、馬、鹿力大仙、齊天府仙吏、酧天君
"
24,陳老道：「言之有理。」,老者道沙僧,"老者道三藏、行者、八戒、沙僧、陳神、雷公、電母、鹿力大仙、齊天府仙吏
"
25,傅奕聞旨，即上疏止浮圖，以言無佛。,傅奕言唐王,"傅奕聞旨疏止浮圖、以言無佛玉皇大帝、 八戒、沙僧、馬
"
26,行者近前笑道：「我賢姪，莫弄虛頭。你今早在山路旁，高吊在松樹梢頭，是那般一個瘦怯怯的黃病孩兒，哄了我師父。我倒好意馱著你，你就弄風兒把我師父攝將來。你如今又弄這個樣子，我豈不認得你？趁早送出我師父，不要白了面皮，失了親情；恐你令尊知道，怪我老孫以長欺幼，不像模樣。」,行者道紅孩兒,"行者笑道妖精、八戒、沙僧、黃、酦、高吊、頭三藏、馬、鱖少年
"
27,變作一條黃犬，跑入場中，把那道士頭，一口銜來，徑跑到御水河邊丟下不題。,毫毛銜虎力大仙,"小妖丟下道士頭行者、八戒、沙僧、銜來佛祖、鯉龍、鱖少卿、 八大仙
"
28,小妖道：「是半路請來的。」,小妖道妖王,"精細鬼、伶俐蟲磕頭配孫悟空、鱖小妖道、魏道魚禮道行者
"
29,那怪呵呵笑道：「這和尚不知死活！你師父是我拿了，如今要蒸熟了請人哩！你上來，與我見個雌雄！三合敵得我啊，還你師父；如三合敵不得，連你一發都蒸喫了，休想西天去也！」,鼉龍笑道沙僧,"怪物笑道大小眷族、木叉行者、善財童子、捧珠龍女道黑魚精
"
30,八戒道：「幾個人伏侍？」,八戒道老者,"八戒道行者、沙僧、三藏、馬、鹿力大仙、鯉太宰、長老道士、流君
"
31,大聖跳起來，把身一抖，收上毫毛，卻又吩咐沙僧道：「賢弟，你是個好人，卻只要留心防著八戒詀言詀語，途中更要仔細。倘一時有妖精拿住師父，你就說老孫是他大徒弟；西方毛怪，聞我的手段，不敢傷我師父。」,行者吩咐道沙僧,"孫悟空吩咐沙僧道菩提祖師、 八戒、阿羊力大仙、李天王
"
32,行者道：「他搶你去何幹？」,行者道群猴,"行者道八戒、沙僧、三藏、馬、鹿力大仙、徒弟，道士、雷公、電母
"
33,悟空笑道：「多感老星降臨。」,孫悟空笑道太白金星,"孫悟空笑道菩提祖師、 八戒、沙僧、陀、黑魚禮道東海龍王
"
34,真個大聖藏了鐵棒，放下衣襟，上前叫道：「老公公，問訊了。」,行者叫道老者,"孫悟空叫道行者、八戒、沾下衣襟、摩昂、雷公、電母、倚海龍
"
35,行者道：「既有這家私，怎麼捨得親生兒女祭賽？拚了五十兩銀子，可買一個童男；拚了一百兩銀子，可買一個童女。連絞纏不過二百兩之數，可就留下自己兒女後代，卻不是好？」,行者道老者,"行者道三藏、八戒、沙僧、馬、鹿力大仙、铨、鯿童子、銀角
"
36,那大聖早已跳出門前，將扇子撒在腰間，雙手輪開鐵棒，與那魔抵敵。,行者抵敵金角,"孫悟空撒猛虎、徐茂功、護國鐵棒罵子、文殊菩薩、金角
"
37,菩薩與他別了，同木叉徑奔東土。,菩薩別了沙悟淨,"菩薩蕭瑀、張氏別了孫悟空、東海龍王土土磕頭長老妖王
"
38,三老驚訝道：「五莊觀是鎮元大仙的仙宮。你莫不是把他人參果偷喫了？」,壽星、福星、祿星驚訝道行者,"三老驚訝道孫悟空、八戒、沙僧、鱖少卿、長老、鯉太小姐
"
39,八戒道：「請出題目，照依樣子好變。」,八戒道國王,"八戒道行者、沙僧、三藏、馬、長老、鯉太子、酧天君、雷公、電母
"
40,行者道：「累你遠勞，不曾成得功果，且請回去，改日再謝。」,行者道四海龍王,"行者道三藏、八戒、沙僧、雷公、電母、鹿力大仙、铨、長老君
"
41,正疑惑之間，又見黃門官來奏：「陛下，門外有許多鄉老聽宣。」,黃門官奏國王,"黃門官奏唐王 、 崔玨、 八戒、沙僧、陛下、長老、鹿力大仙
"
42,猴王道：「弟子乃東勝神洲傲來國花果山水簾洞人氏。」,美猴王道菩提祖師,"美猴王道菩提祖師、從者、翊諸天與守山大神、木叉行者、善財童子
"
43,那山神、土地纔怕道：「委實不知，不知。只聽得那魔頭念起遣山咒法，我們就把山移將來了。誰曉得是孫大聖？」,山神、土地道揭諦,"山神、土地纔怕道行者、 八戒、沙僧、馬、鱖婆、長老道道士
"
44,八戒聽見道：「列位，莫要議論。我們是這般。乍看果有些醜；只是看下些時來，卻也耐看。」,八戒道兩班文武,"八戒道行者、沙僧、三藏、摩昂、鹿力大仙、鯉太尉、醜、 八道士、徒弟君
"
45,說不了，卻遇天王早到，迎著行者道：「久濶，久濶。前聞觀音菩薩來見玉帝，借了四值功曹、六丁六甲並揭諦等，保護唐僧往西天取經去，說你與他做了徒弟，今日怎麼得閑到此？」,天王道孙悟空,"天王迎著行者道孫悟空、秦瓊唐僧、敬德龍王、龍孫曹、聽燊道道士
"
46,伯欽聞得此說，沉吟了半晌道：「長老，寒家歷代以來，不曉得喫素；就是有些竹笋，採些木耳，尋些乾菜，做些豆腐，也都是獐鹿虎豹的油煎，卻無甚素處。有兩眼鍋灶，也都是油膩透了，這等奈何？反是我請長老的不是。」,伯欽道三藏,"伯欽道三藏、行者、 八戒、沙僧、長老、鯉吟、陀、酊天府仙吏
"
47,八戒笑道：「師父，他死了可干你事？又不是你家父祖，哭他怎的！」,八戒笑道三藏,"八戒笑道三藏、行者、沙僧、馬、鹿力大仙、铨、鯿童子、鍧珠龍女
"
48,八戒道：「不消講，這猴子一定是要我哭哩。」,八戒道三藏,"八戒道行者、沙僧、三藏、馬、魏徵、長老、鯉英宮道士、流臣
"
49,行者道：「日月星辰都裝在裏面，外卻無光，怎麼不黑！」,行者道精細鬼、伶俐蟲,"行者道三藏、八戒、沙僧、馬、長老、酧天君、雷公、電母、鯉太子
"
50,八戒道：「師父請下馬，在此等老豬去尋。」,八戒道三藏,"八戒道三藏、行者、沙僧、馬、長老、鯉財童子、佈霧郎君、robotically靈
"
51,這大聖纔謝了老祖，出離了兜率天宮。,行者謝太上老君,"孫悟空纔謝太上老君、四大天宮、李天王、玉帝、東海龍王、無那諸神
"
52,耳邊有人囑曰：「滿堂嬌，聽吾叮囑。吾乃南極星君，奉觀音菩薩法旨，特送此子與你。異日聲名遠大，非比等閒。劉賊若回，必害此子，汝可用心保護。汝夫已得龍王相救，日後夫妻相會，子母團圓，雪冤報仇有日也。謹記吾言。快醒！快醒！」,南極星君曰殷小姐,"耳邊有人囑曰唐王、文武仙卿、年童、童子、佈霧郎二十四路諸天與你
"
53,唐僧見他言言語語，越發惱怒，滾鞍下馬來，叫沙僧包袱內取出紙筆，即於澗下取水，石上磨墨，寫了一紙貶書，遞於行者道：「猴頭！執此為照！再不要你做徒弟了！如再與你相見，我就墮了阿鼻地獄！」,三藏叫沙僧,"三藏叫沙僧、八戒、漢翊越發惱怒，滾鞍下馬來孫悟空
"
54,行者喝一聲道：「潑怪！你是那裏來的邪魔？怎麼知道我老孫的名號？你有甚麼本事，實實供來，饒你性命！」,行者喝道怪,"行者喝猛虎、 八戒、沙僧、鱖婆道怪物、鬼魅風、伶俐蟲
"
55,教：「快取披掛兵器來！」,怪物教小妖,"老者教三藏、行者、八戒、沙僧、馬、鹿力大仙、長老君、鯉太尉
"
56,正行時，只聽得叫聲「救人！」,三藏聽妖精,"行者叫八戒、沙僧、三藏、摩昂、馬、魏徵丞相、鹿力大仙、長老
"
57,行者道：「出家人以乞化為由，卻不化齋喫，怎生有錢買？」,行者道道士,"行者道三藏、八戒、沙僧、齊天府仙吏、雷公、電母、酧天君、鍿力大仙
"
58,大仙道：「你若有此神通，醫得樹活，我與你八拜為交，結為兄弟。」,鎮元大仙道行者,"鎮元大仙道行者、八戒、沙僧、馬、鹿察陀、鿊天府仙吏道小仙
"
59,向玉帝前頫顖禮畢，又對佛祖謝道：「深感法力，降伏妖猴。無物可以表敬，特具交梨二顆，火棗數枚奉獻。」,赤腳大仙謝道如來佛祖,"玉皇大帝祖謝道太白金星、無物、火棗頫顖禮畢，道猛虎
"
60,行者道：「他敢喫我？」,行者道老者,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯿星、酧天君、明月
"
61,這魔王大鋼刀，著頭便砍；那八戒九齒鈀，對面來迎。,老妖砍八戒,"魔王砍八戒、沙僧、面來佛祖、齒鈀行者、銀角、雷公、電母
"
62,此時又會了個七弟兄，乃牛魔王、蛟魔王、鵬魔王、獅駝王、獼猴王、𤟹狨王，連自家美猴王七個。,孫悟空會六王,"金角七弟兄獼猴王、𤟹狨王、鵬金頂大仙、魏徵丞相、長老道魚秀士
"
63,即取金箍棒，幌了一幌，將那平地下週圍畫了一道圈子，請唐僧坐在中間；著八戒、沙僧侍立左右，把馬與行李都放在近身。,行者著八戒、沙僧,"行者請三藏、八戒、沙僧、放在近身妖精、福星、祿星，道老妖
"
64,僧官道：「我們從小兒住的寺，師公傳與師父，師父傳與我輩，我輩要遠繼兒孫。他不知是那裏勾當，冒冒實實的，教我們搬哩。」,僧官道道人,"僧官道三藏、行者、 八戒、悟淨、馬、鱖少卿、鯉太宰、長老
"
65,卻入後宮，揭開石匣，馱著唐僧，出離波津，與眾相見。,八戒、沙僧馱三藏,"行者著三藏、八戒、沙僧、馱、長老、鯉英宮主、二郎真君
"
66,八戒道：「老兒滴答甚麼，誰和你發課，說甚麼五爻六爻；有飯只管添將來就是。」,八戒道老王,"八戒道三藏、行者、沙僧、馬、長老、鯉太子、酧天君、魚精、鍧珠龍女
"
67,行者道：「計較甚的？你要肯，便就教師父與那婦人做個親家，你就做個倒踏門的女婿。他家這等有財有寶，一定倒陪妝奩，整治個會親的筵席。我們也落些受用。你在此間還俗，卻不是兩全其美？」,行者道八戒,"孫悟空道三藏、行者、 八戒、沙僧、陀、阿府仙吏、酕天君、長老
"
68,行者笑道：「師父不知。若是問了別人沒趣，須是問他，纔有買賣。」,孫悟空道三藏,"行者笑道三藏、八戒、沙僧、馬、鹿力大仙、長老、鯿星、酧天君、鿊聖真君
"
69,掣釘鈀，望妖怪劈臉就築。,八戒劈老妖,"紅孩兒劈臉就築妖精、八戒、沙僧、鱖少卿、黑漢白金星、齊天府仙吏
"
70,如來聞說，即對眾菩薩道：「汝等在此穩坐法堂，休得亂了禪位，待我煉魔救駕去來。」,如來佛祖道菩薩,"如來佛祖道菩薩、木叉、善財童子、捧珠龍女、佈鰣行者、鱖小姐
"
71,只見涯邊一片木板上，睡著一個嬰兒，長老慌忙救起。,長老救起小兒,"涯邊一片木板上、嬰兒救起三藏、行者、 八戒、沙僧、長老
"
72,那些道士，推開格子，磕頭禮拜謝恩，抬出缸去，將那瓶盆總歸一處教：「徒弟，取個鍾子來嘗嘗。」,老道士道小道士,"道士教行者、八戒、沙僧、齊天府仙吏、鎮元大仙、鍾子、酧天君、長老
"
73,那禪師笑云：「道路不難行，試聽我吩咐：千山千水深，多瘴多魔處。若遇接天崖，放心休恐怖。行來摩耳巖，側著腳踪步。仔細黑松林，妖狐多截路。精靈滿國城，魔主盈山住。老虎坐琴堂，蒼狼為主簿。獅象盡稱王，虎豹皆作御。野豬挑擔子，水怪前頭遇。多年老石猴，那裏懷嗔怒。你問那相識，他知西去路。」,禪師笑云三藏,"禪師笑云唐王、 孫悟淨、 八戒、沙僧、馬、長老祖師
"
74,小姐叫他脫了鞋襪看時，那左腳上果然少了一個小指頭。,殷小姐叫玄奘,"果然少了猛虎、 八戒、沙僧脱菩薩、鱖婆、長老叫他珠龍女
"
75,急抽身，就跑了個豬顛風，報與三藏道：「師父！『吉人自有天報！』師父餓了，教師兄去化齋，那猴子不知那裏摘桃兒耍子去了。桃子喫多了，也有些嘈人，又有些下墜。你看那不是個齋僧的來了？」,八戒報道三藏,"行者報與三藏道八戒、沙僧、馬、鹿力大仙、三老路諸天與五方揭諦神眾頭長老
"
76,小龍見了道：「菩薩，這是我的對頭。我昨日腹中饑餒，果然喫了他的馬匹。他倚著有些力量，將我鬭得力怯而回；又罵得我閉門不敢出來。他更不曾提著一個『取經』的字樣。」,龍道菩薩,"小龍王道菩薩、木叉、善財童子、捧珠龍女道行者、頭陀、酧天君
"
77,即命木叉：「使降妖杵，把刀柄兒打打去來。」,菩薩命木叉,"紅孩兒命木叉三藏、行者、八戒、沙僧、陀、馬、阿羊力大仙
"
78,哭久，老魔拜下，備言前事。,金角備言狐阿七大王,"金角備言前事鱖婆、張氏、李天王、齊天府鬼、鿊聖真君、鬼靈官
"
79,行者道：「你說甚麼？」,孫悟空道土地、山神,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、徒弟君、鯉太宰
"
80,行者道：「你怎麼這等量人！常言道：『一葉浮萍歸大海，為人何處不相逢！』縱然他不認親，好道也不傷我師父。不望他相留酒席，必定也還我個囫圇唐僧。」,行者道沙僧,"孫悟空道三藏、行者、 八戒、沙僧、馬、酒席、言菩薩、長老
"
81,同金星緩步入裏觀看。,孫悟空觀看太白金星,"太白金星緩步入裏觀看玉皇大帝、木叉行者、善財童子、捧珠龍女
"
82,那公主道：「你這和尚，全無信義：你說放了你師弟，就與我孩兒，怎麼你師弟放去，把我孩兒又留，反來我門首做甚？」,公主道行者,"公主道行者、八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太尉
"
83,轎夫道：「把些兒我們喫喫。」,轎夫道行者,"轎夫道行者、八戒、沙僧、馬、鱖婆、鯉太宰道摩星、魏徵丞相
"
84,話表齊天大聖被眾天兵押去斬妖臺下，綁在降妖柱上，刀砍斧剁，鎗刺劍刳，莫想傷及其身。,眾天兵砍孫悟空,"眾天兵刳孫悟空、徐莫想傷及其身臺下、刀砍斧剁、鎗刺劍刳
"
85,三藏道：「陛下第三位公主娘娘，被碗子山波月洞黃袍妖攝將去，貧僧偶爾相遇，故寄書來也。」,三藏道國王,"三藏道皇帝、帝后、徒弟，徒大仙、道太子、土地、力士、齊天府仙吏
"
86,有那一夥管兵器的小妖，著兩個抬出一桿丈八長的火尖鎗，遞與妖王。,小妖遞與紅孩兒,"小妖抬三藏、行者、八戒、沙僧、長的火尖鎗，遞與金角、齊天府仙吏
"
87,又與八戒、行者、沙僧拜見了，方纔按座。,皇帝拜見八戒,"八戒、沙僧拜見行者、按座孫悟空、源與猛虎、毫毛、翊菩薩
"
88,小姐問道：「你母姓甚？」,殷小姐問道玄奘,"小姐問道玉英宮主、蟹士、祿星、鱖婆道菩薩、鯉太宰
"
89,老黿道：「不勞師父賜謝。我聞得西天佛祖無滅無生，能知過去未來之事。我在此間，整修行了一千三百餘年；雖然延壽身輕，會說人語，只是難脫本殼。萬望老師父到西天與我問佛祖一聲，看我幾時得脫本殼，可得一個人身。」,老黿道三藏,"老黿道三藏、行者、 八戒、沙僧、馬、長老君、鯉太子、酧天師
"
90,三藏道：「悟空，你怎麼降得他來拜我？」,三藏道怪,"三藏道行者、八戒、悟空、拜我？陀菩提祖師、陕士、醊天府仙吏
"
91,沙僧道：「你看師父說的話。弟子蒙菩薩勸化，受了戒行，等候師父；自蒙師父收了我，又承教誨；跟著師父還不上兩月，更不曾進得半分功果，怎敢圖此富貴！寧死也要往西天去，決不幹此欺心之事。」,沙僧道三藏,"沙僧道行者、八戒、悟淨、源茂功、弟子、齊天府仙吏、鱖少卿君
"
92,這行者保護了三藏。,行者保護三藏,"行者保護三藏、八戒、沙僧、馬、長老、鯉太子、酧天君、鍧瓊道老君
"
93,八戒道：「在便還在山前，只是如今風轉了也。」,八戒道三藏,"八戒道行者、沙僧、三藏、馬、鱖少年、鯉太子、鍧珠龍女道國王
"
94,那道士又執令牌，燒了符檄，撲的又打了一下，只見那空中雲霧遮滿。,道士道八戒,"道士打行者、八戒、沙僧、霧遮滿三藏、馬、流、奔、巴、鹿力大仙
"
95,唐僧教沙和尚同去。,三藏教沙僧,"三藏教沙僧、馬、流、奔、巴、鹿力大仙、鿊聖真君、鯉太宰
"
96,那妖又噴一口，行者當不得，縱雲頭走了。,紅孩兒噴行者,"老妖噴一口、行者當縱雲頭走了紅孩兒、雲童子、八戒、沙僧
"
97,八戒失驚道：「雙晦氣了！這亡人又不曾走路，怎麼身上有汗，腿有青痕？想是歹人打劫師父，把馬打壞了。」,八戒失驚道小龍王,"八戒驚道三藏、行者、沙僧、馬、長老道士、雙晦氣、酧天師
"
98,八戒道：「哥呀，你但幹事，便要留根。」,八戒道行者,"八戒道行者、沙僧、三藏、馬、鹿力大仙、铨、 八大神、長老君、鯉太宰
"
99,又叫：「師父啊！憶昔當年出大唐，巖前救我脫災殃。三山六水遭魔障，萬苦千辛割寸腸。托缽朝餐隨厚薄，參禪暮宿或林莊。一心指望成功果，今日安知痛受傷！」,行者叫三藏,"行者叫三藏、八戒、沙僧、馬、長老、鯉財童子、佈霧仙吏道士、配力大仙
"
100,行者度他匣內必有甚麼柬札，舉起棒，劈頭一下，可憐不禁打，就打得似個肉餅一般；卻拖在路旁，揭開匣兒觀看，果然是一封請帖。,孫悟空打小妖,"孫悟空打得似個肉餅一般；卻拖在路旁、揭開匣兒觀看，果然
"
101,行者道：「你這裝人的，何足稀罕？我這葫蘆，連天都裝在裏面哩！」,行者道伶俐蟲,"行者道八戒、沙僧、三藏、馬、鱖婆、酧天師、靈官、鯉天府仙吏
"
102,他一轂轆爬起來，到唐僧床前，叫：「師父。」,行者叫三藏,"唐僧叫三藏、行者、八戒、沙悟淨、鱖婆、馬、魏徵丞相
"
103,菩薩道：「悟空，你又說甚麼？」,菩薩道行者,"菩薩道行者、八戒、沙僧、馬、齊天府仙吏、佈霧郎君、仙卿君
"
104,沙僧攙著行者，一同到松林之下坐定。,沙僧攙行者,"沙僧攙著行者、松林之下坐定三藏、八戒、悟淨、揭諦
"
105,行者道：「怎的得沒了？」,行者道老者,"行者道三藏、八戒、沙僧、馬、長老、鯉財童子、佈霧郎君、齊天府仙吏
"
106,行者道：「行君臣禮，就要下拜哩。」,行者道三藏,"行者道八戒、沙僧、三藏、馬、鹿力大仙、铨、長老、鿊聖真君
"
107,怪物道：「這祭賽乃上年舊規，如今供獻我，當喫你。」,怪物道行者,"妖怪道木叉、善財童子、捧珠龍女道行者、菩薩、黑魚群猴
"
108,那菩薩袖中取出照妖鏡，照住了那怪的原身。,文殊菩薩照魔王,"菩薩照妖鏡行者、八戒、沙僧、鱖婆住妖精、齊天府仙吏
"
109,八戒低著頭道：「不敢，承問了；不是夷人，是熟人，熟人。」,八戒道行者,"八戒道行者、沙僧、三藏、馬、鹿力大仙、鯉太上老君、長老道猛虎
"
110,行者道：「多承下顧。小和尚一向不曾洗澡，這兩日皮膚燥癢，好歹盪盪去。」,行者道國王,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉財童子、獨諸天王
"
111,行者道：「那白臉者是我師父，那怪樣者是我師弟。我與他共發虔心，要往西天取經，如何不尋他去！」,行者道老者,"行者道三藏、八戒、沙僧、馬、鱖婆、鯉太宰、長老君、酧天君
"
112,行者笑道：「我那乖乖，菩薩恐你養不大，與你戴個頸圈鐲頭哩。」,行者笑道菩薩,"行者笑道菩薩、蕭瑀、張道源諸天與守山大神、國王、善財童子、捧珠龍女
"
113,卻說那玉帝次日設朝，只見張天師引御馬監監丞、監副在丹墀下拜奏道：「萬歲，新任弼馬溫孫悟空，因嫌官小，昨日反下天宮去了。」,張天師下拜奏道玉皇大帝,"監副下拜奏道玉帝、只見張天師引御馬、監監丞、道天宮、昨日
"
114,大叫云：「道號！道號！你好胡思！那個三清，肯降凡基？吾將真姓，說與你知。大唐僧眾，奉旨來西。良宵無事，下降宮闈。喫了供養，閑坐嬉嬉。蒙你叩拜，何以答之？那裏是甚麼聖水，你們喫的都是我一溺之尿！」,行者大叫老道士,"鎮元大仙叫道虎、倚海龍、道士、 八戒、沙僧、陀角、馬、阿翊菩薩
"
115,行者合掌道：「不知文洗，武洗？」,行者道國王,"行者合掌道三藏、八戒、沙僧、馬、鹿力大仙、長老、鯉太子
"
116,即差四大天王，協同李天王並哪吒太子，點二十八宿、九曜星官、十二元辰、五方揭諦、四值功曹、東西星斗、南北二神、五岳四瀆、普天星相，共十萬天兵，佈一十八架天羅地網下界，去花果山圍困，定捉獲那廝處治。,玉帝差四大天王,"玉帝差四值功曹差二十八宿、九曜星官、十二元辰接迎如來佛祖
"
117,八戒笑得打跌道：「公公忒沒眼力！我們是扯謊架橋，哄人的大王，你怎麼把這謊話哄我！和尚家豈不知齋事？只有個『預修寄庫齋』、『預修填還齋』，那裏有個『預修亡齋』的？你家人又不曾有死的，做甚亡齋？」,八戒笑道老者,"八戒打跌道行者、沙僧、三藏、馬、鹿力大仙、長老、鯉太尉
"
118,文殊道：「我來替你收這個妖怪的。」,文殊菩薩道行者,"文殊菩薩道妖精、八戒、沙僧、黑漢、鱖少卿、鬼、魅風王
"
119,小妖道：「我家沒有你。」,倚海龍道行者,"小妖道黑漢精細鬼、伶俐蟲、從者、齊天府仙吏、雷公、電母
"
120,道：「郎君啊，你怎麼今日說起這分離的話？」,公主道老妖,"眾僧道三藏、行者、八戒、悟淨、鹿力大仙、铨、張道士、鯉太子
"
121,悟空道：「既是我們的家火，你們都搬出外去。」,孫悟空道小猴,"孫悟空道菩提祖師、徒弟，揭諦神道行者、竸天與家個少年
"
122,陳玄奘大闡法師，聚集一千二百名高僧，都在長安城化生寺開演諸品妙經。,玄奘聚集高僧,"陳玄奘大闡法師長安、城化生寺開演諸品妙經孫悟空
"
123,那怪見八戒走了，就奔沙僧。,老妖奔沙僧,"怪物奔沙僧、八戒、漢翊走了精細鬼、伶俐蟲、馬、鱖少年
"
124,那婦人聞言，大怒道：「這潑和尚無禮！我若不看你東土遠來，就該叱出。我倒是個真心實意，要把家緣招贅汝等，你倒反將言語傷我。你就是受了戒，發了願，永不還俗，好道你手下人，我家也招得一個。你怎麼這般執法？」,婦人大怒道三藏,"婦人大怒道三藏、行者、 八戒、沙僧、馬、鱖少卿、鯉太子、長老君
"
125,急收棒，上前施禮道：「菩薩，那裏去？」,行者施禮道文殊菩薩,"行者施禮道菩薩、蕭瑀、張道士、齊天府仙吏、鱖少卿、醧天君、鯉太子
"
126,三藏依言，記在心上。,三藏依言行者,"三藏記在心上老和尚、八戒、悟淨、沙僧、馬、陀虎、長老
"
127,卻又念咒語，把一座峨眉山遣在空中來壓。,銀角壓行者,"眉山大仙壓在個少年、力士、齊天座峨、鱖少卿、翊光蕊、長老道行者
"
128,老僧道：「痴長二百七十歲了。」,老僧道三藏,"老僧道三藏、行者、八戒、悟淨、長老、酧天君、雷公、電母、鯉太子
"
129,行者仍駕祥雲，將師父馱下階前，已是長老得勝。,行者馱三藏,"行者駕祥雲三藏、八戒、沙僧、長老、馱下階前，已如來佛祖
"
130,八戒一把扯住道：「哥啊，我聽得他在這房裏說，要拿甚麼金擊子去打哩。須是幹得停當，不可走露風聲。」,八戒扯行者,"八戒扯住道行者、沙僧、三藏、馬、鹿力大仙、铨、鯿童、鍧、長老
"
