-DOCSTART- -X- -X- O
向 _ _ B-DH
紘 _ _ I-DH
。 _ _ O
孫 _ _ O
男 _ _ O
十 _ _ O
一 _ _ O
人 _ _ O
： _ _ O
詳 _ _ B-SS
， _ _ O
陳 _ _ O
州 _ _ O
商 _ _ O
水 _ _ O
令 _ _ O
； _ _ O
謫 _ _ B-SS
， _ _ O
齊 _ _ O
州 _ _ O
歷 _ _ O
城 _ _ O
主 _ _ O
簿 _ _ O
； _ _ O
評 _ _ B-SS
， _ _ O
進 _ _ O
士 _ _ O
及 _ _ O
第 _ _ O
； _ _ O
誦 _ _ B-SS
， _ _ O
奉 _ _ O
禮 _ _ O
郎 _ _ O
； _ _ O
諫 _ _ B-SS
、 _ _ O
讜 _ _ B-SS
， _ _ O
將 _ _ O
作 _ _ O
監 _ _ O
主 _ _ O
簿 _ _ O
； _ _ O
詵 _ _ B-SS
、 _ _ O
該 _ _ B-SS
、 _ _ O
詢 _ _ B-SS
、 _ _ O
誠 _ _ B-SS
， _ _ O
并 _ _ O
幼 _ _ O
。 _ _ O

曾 _ _ O
王 _ _ O
妣 _ _ O
潘 _ _ B-FFM
氏 _ _ I-FFM
， _ _ O
王 _ _ O
妣 _ _ O
楊 _ _ B-FM
氏 _ _ I-FM
、 _ _ O
白 _ _ O
氏 _ _ O
， _ _ O
妣 _ _ O
邊 _ _ B-M
氏 _ _ I-M
、 _ _ O
繼 _ _ O
母 _ _ O
劉 _ _ O
氏 _ _ O
， _ _ O
追 _ _ O
封 _ _ O
魯 _ _ O
、 _ _ O
韓 _ _ O
、 _ _ O
燕 _ _ O
、 _ _ O
陳 _ _ O
、 _ _ O
魏 _ _ O
五 _ _ O
國 _ _ O
太 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
配 _ _ O
時 _ _ B-W1
氏 _ _ I-W1
， _ _ O
卒 _ _ O
公 _ _ O
約 _ _ O
時 _ _ O
， _ _ O
子 _ _ O
東 _ _ O
之 _ _ O
請 _ _ O
諸 _ _ O
朝 _ _ O
， _ _ O
追 _ _ O
封 _ _ O
永 _ _ O
嘉 _ _ O
郡 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
繼 _ _ O
室 _ _ O
榮 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
皇 _ _ B-W2
甫 _ _ I-W2
氏 _ _ I-W2
。 _ _ O
皆 _ _ O
有 _ _ O
德 _ _ O
禮 _ _ O
， _ _ O
式 _ _ O
憲 _ _ O
宗 _ _ O
姻 _ _ O
。 _ _ O
三 _ _ O
子 _ _ O
： _ _ O
曰 _ _ O
東 _ _ B-S
之 _ _ I-S
， _ _ O
尚 _ _ O
書 _ _ O
工 _ _ O
部 _ _ O
郎 _ _ O
中 _ _ O
、 _ _ O
天 _ _ O
章 _ _ O
閣 _ _ O
待 _ _ O
制 _ _ O
； _ _ O
徽 _ _ B-S
之 _ _ I-S
， _ _ O
度 _ _ O
支 _ _ O
員 _ _ O
外 _ _ O
郎 _ _ O
、 _ _ O
京 _ _ O
西 _ _ O
轉 _ _ O
運 _ _ O
使 _ _ O
； _ _ O
皆 _ _ O
以 _ _ O
才 _ _ O
進 _ _ O
， _ _ O
著 _ _ O
名 _ _ O
跡 _ _ O
， _ _ O
稱 _ _ O
賢 _ _ O
士 _ _ O
大 _ _ O
夫 _ _ O
， _ _ O
不 _ _ O
藉 _ _ O
世 _ _ O
家 _ _ O
。 _ _ O
幼 _ _ O
輔 _ _ B-S
之 _ _ I-S
， _ _ O
太 _ _ O
常 _ _ O
寺 _ _ O
太 _ _ O
祝 _ _ O
。 _ _ O
六 _ _ O
女 _ _ O
： _ _ O
長 _ _ O
歸 _ _ O
國 _ _ O
子 _ _ O
博 _ _ O
士 _ _ O
向 _ _ O
絳 _ _ B-DH
， _ _ O
次 _ _ O
祠 _ _ O
部 _ _ O
員 _ _ O
外 _ _ O
、 _ _ O
集 _ _ O
賢 _ _ O
校 _ _ O
理 _ _ O
張 _ _ B-DH
充 _ _ I-DH
， _ _ O
次 _ _ O
太 _ _ O
常 _ _ O
博 _ _ O
士 _ _ O
王 _ _ B-DH
端 _ _ I-DH
， _ _ O
次 _ _ O
未 _ _ O
有 _ _ O
行 _ _ O
而 _ _ O
亡 _ _ O
， _ _ O
次 _ _ O
歸 _ _ O
大 _ _ O
理 _ _ O
評 _ _ O
事 _ _ O
陳 _ _ B-DH
襲 _ _ I-DH
古 _ _ I-DH
， _ _ O
次 _ _ O
在 _ _ O
室 _ _ O
。 _ _ O
諸 _ _ O
孫 _ _ O
、 _ _ O
曾 _ _ O
孫 _ _ O
十 _ _ O
一 _ _ O
人 _ _ O
。 _ _ O

公 _ _ O
諱 _ _ O
夷 _ _ O
簡 _ _ O
， _ _ O
字 _ _ O
坦 _ _ O
夫 _ _ O
， _ _ O
文 _ _ O
穆 _ _ O
公 _ _ O
之 _ _ O
從 _ _ O
子 _ _ O
。 _ _ O
太 _ _ O
嶽 _ _ O
之 _ _ O
後 _ _ O
， _ _ O
流 _ _ O
光 _ _ O
源 _ _ O
深 _ _ O
。 _ _ O
大 _ _ O
王 _ _ O
父 _ _ O
夢 _ _ B-FFF
奇 _ _ I-FFF
， _ _ O
唐 _ _ O
兵 _ _ O
部 _ _ O
侍 _ _ O
郎 _ _ O
、 _ _ O
北 _ _ O
京 _ _ O
副 _ _ O
留 _ _ O
守 _ _ O
， _ _ O
以 _ _ O
文 _ _ O
穆 _ _ O
貴 _ _ O
， _ _ O
追 _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
。 _ _ O
王 _ _ O
父 _ _ O
龜 _ _ B-FF
祥 _ _ I-FF
， _ _ O
以 _ _ O
殿 _ _ O
省 _ _ O
丞 _ _ O
守 _ _ O
壽 _ _ O
春 _ _ O
， _ _ O
有 _ _ O
善 _ _ O
政 _ _ O
， _ _ O
沒 _ _ O
， _ _ O
因 _ _ O
家 _ _ O
焉 _ _ O
。 _ _ O
其 _ _ O
配 _ _ O
秦 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
扶 _ _ B-W1
風 _ _ I-W1
馬 _ _ I-W1
氏 _ _ I-W1
， _ _ O
太 _ _ O
子 _ _ O
少 _ _ O
保 _ _ O
忠 _ _ O
肅 _ _ O
公 _ _ O
亮 _ _ O
之 _ _ O
女 _ _ O
。 _ _ O
婦 _ _ O
體 _ _ O
順 _ _ O
而 _ _ O
正 _ _ O
， _ _ O
母 _ _ O
道 _ _ O
慈 _ _ O
以 _ _ O
嚴 _ _ O
。 _ _ O
公 _ _ O
在 _ _ O
許 _ _ O
昌 _ _ O
， _ _ O
夫 _ _ O
人 _ _ O
以 _ _ O
歿 _ _ O
。 _ _ O
及 _ _ O
鄭 _ _ O
展 _ _ O
墓 _ _ O
也 _ _ O
， _ _ O
且 _ _ O
將 _ _ O
葬 _ _ O
夫 _ _ O
人 _ _ O
， _ _ O
卜 _ _ O
有 _ _ O
日 _ _ O
矣 _ _ O
， _ _ O
而 _ _ O
公 _ _ O
薨 _ _ O
， _ _ O
即 _ _ O
以 _ _ O
慶 _ _ O
曆 _ _ O
四 _ _ O
年 _ _ O
十 _ _ O
一 _ _ O
月 _ _ O
壬 _ _ O
申 _ _ O
， _ _ O
祔 _ _ O
於 _ _ O
新 _ _ O
鄭 _ _ O
陪 _ _ O
先 _ _ O
兆 _ _ O
， _ _ O
君 _ _ O
子 _ _ O
以 _ _ O
爲 _ _ O
知 _ _ O
命 _ _ O
。 _ _ O
七 _ _ O
子 _ _ O
： _ _ O
公 _ _ B-S
綽 _ _ I-S
， _ _ O
兵 _ _ O
部 _ _ O
員 _ _ O
外 _ _ O
郎 _ _ O
、 _ _ O
史 _ _ O
館 _ _ O
修 _ _ O
撰 _ _ O
； _ _ O
公 _ _ B-S
弼 _ _ I-S
， _ _ O
度 _ _ O
支 _ _ O
員 _ _ O
外 _ _ O
郎 _ _ O
、 _ _ O
三 _ _ O
司 _ _ O
鹽 _ _ O
鐵 _ _ O
判 _ _ O
官 _ _ O
； _ _ O
公 _ _ B-S
著 _ _ I-S
、 _ _ O
公 _ _ B-S
孺 _ _ I-S
， _ _ O
并 _ _ O
太 _ _ O
常 _ _ O
博 _ _ O
士 _ _ O
， _ _ O
操 _ _ O
行 _ _ O
器 _ _ O
識 _ _ O
， _ _ O
儒 _ _ O
學 _ _ O
吏 _ _ O
用 _ _ O
， _ _ O
維 _ _ O
其 _ _ O
似 _ _ O
之 _ _ O
， _ _ O
必 _ _ O
復 _ _ O
大 _ _ O
顯 _ _ O
； _ _ O
公 _ _ B-S
餗 _ _ I-S
， _ _ O
贈 _ _ O
右 _ _ O
贊 _ _ O
善 _ _ O
大 _ _ O
夫 _ _ O
； _ _ O
餘 _ _ O
早 _ _ O
夭 _ _ O
。 _ _ O
二 _ _ O
女 _ _ O
： _ _ O
長 _ _ O
適 _ _ O
司 _ _ O
封 _ _ O
郎 _ _ O
中 _ _ O
雍 _ _ O
， _ _ O
文 _ _ B-DH
正 _ _ I-DH
公 _ _ I-DH
子 _ _ I-DH
也 _ _ O
， _ _ O
次 _ _ O
不 _ _ O
育 _ _ O
。 _ _ O

公 _ _ O
生 _ _ O
幾 _ _ O
歲 _ _ O
， _ _ O
始 _ _ O
有 _ _ O
賢 _ _ O
子 _ _ O
革 _ _ B-S
。 _ _ O
革 _ _ O
， _ _ O
咸 _ _ O
平 _ _ O
三 _ _ O
年 _ _ O
以 _ _ O
鄉 _ _ O
貢 _ _ O
進 _ _ O
士 _ _ O
中 _ _ O
第 _ _ O
， _ _ O
始 _ _ O
以 _ _ O
禄 _ _ O
榮 _ _ O
其 _ _ O
親 _ _ O
。 _ _ O
後 _ _ O
幾 _ _ O
歲 _ _ O
， _ _ O
夫 _ _ O
人 _ _ O
楚 _ _ B-W1
氏 _ _ I-W1
， _ _ O
某 _ _ O
人 _ _ O
女 _ _ O
， _ _ O
其 _ _ O
賢 _ _ O
爲 _ _ O
公 _ _ O
之 _ _ O
配 _ _ O
， _ _ O
後 _ _ O
公 _ _ O
以 _ _ O
卒 _ _ O
。 _ _ O

自 _ _ O
其 _ _ O
高 _ _ O
祖 _ _ O
諱 _ _ B-G-n
墉 _ _ I-G-n
， _ _ O
唐 _ _ O
咸 _ _ O
通 _ _ O
中 _ _ O
舉 _ _ O
進 _ _ O
士 _ _ O
， _ _ O
卒 _ _ O
官 _ _ O
江 _ _ O
西 _ _ O
， _ _ O
始 _ _ O
著 _ _ O
籍 _ _ O
於 _ _ O
高 _ _ O
安 _ _ O
， _ _ O
其 _ _ O
後 _ _ O
三 _ _ O
世 _ _ O
不 _ _ O
顯 _ _ O
。 _ _ O
曾 _ _ O
祖 _ _ O
諱 _ _ O
延 _ _ B-FFF
昌 _ _ I-FFF
， _ _ O
又 _ _ O
徙 _ _ O
其 _ _ O
籍 _ _ O
於 _ _ O
臨 _ _ O
川 _ _ O
。 _ _ O
祖 _ _ O
諱 _ _ B-FF
郜 _ _ I-FF
， _ _ O
追 _ _ O
封 _ _ O
英 _ _ O
國 _ _ O
公 _ _ O
。 _ _ O
考 _ _ O
諱 _ _ O
固 _ _ B-F
， _ _ O
追 _ _ O
封 _ _ O
秦 _ _ O
國 _ _ O
公 _ _ O
。 _ _ O
自 _ _ O
曾 _ _ O
祖 _ _ O
已 _ _ O
下 _ _ O
， _ _ O
皆 _ _ O
用 _ _ O
公 _ _ O
貴 _ _ O
， _ _ O
累 _ _ O
贈 _ _ O
開 _ _ O
府 _ _ O
儀 _ _ O
同 _ _ O
三 _ _ O
司 _ _ O
、 _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
中 _ _ O
書 _ _ O
令 _ _ O
兼 _ _ O
尚 _ _ O
書 _ _ O
令 _ _ O
。 _ _ O
曾 _ _ O
祖 _ _ O
妣 _ _ O
張 _ _ B-WFFF
氏 _ _ I-WFFF
， _ _ O
陳 _ _ O
國 _ _ O
太 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
祖 _ _ O
妣 _ _ O
傅 _ _ B-WFF
氏 _ _ I-WFF
， _ _ O
許 _ _ O
國 _ _ O
太 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
妣 _ _ O
吳 _ _ B-M
氏 _ _ I-M
， _ _ O
唐 _ _ O
國 _ _ O
太 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
故 _ _ O
其 _ _ O
薨 _ _ O
也 _ _ O
， _ _ O
天 _ _ O
子 _ _ O
尤 _ _ O
哀 _ _ O
悼 _ _ O
之 _ _ O
， _ _ O
賜 _ _ O
予 _ _ O
加 _ _ O
等 _ _ O
， _ _ O
以 _ _ O
其 _ _ O
子 _ _ O
承 _ _ O
裕 _ _ O
爲 _ _ O
崇 _ _ O
文 _ _ O
院 _ _ O
檢 _ _ O
討 _ _ O
， _ _ O
孫 _ _ O
及 _ _ O
甥 _ _ O
之 _ _ O
未 _ _ O
官 _ _ O
者 _ _ O
九 _ _ O
人 _ _ O
， _ _ O
皆 _ _ O
命 _ _ O
以 _ _ O
官 _ _ O
。 _ _ O
公 _ _ O
初 _ _ O
娶 _ _ O
李 _ _ B-W1
氏 _ _ I-W1
， _ _ O
工 _ _ O
部 _ _ O
侍 _ _ O
郎 _ _ O
虛 _ _ O
己 _ _ O
之 _ _ O
女 _ _ O
； _ _ O
次 _ _ O
孟 _ _ B-W2
氏 _ _ I-W2
， _ _ O
屯 _ _ O
田 _ _ O
員 _ _ O
外 _ _ O
郎 _ _ O
虛 _ _ O
舟 _ _ O
之 _ _ O
女 _ _ O
， _ _ O
封 _ _ O
鉅 _ _ O
鹿 _ _ O
郡 _ _ O
夫 _ _ O
人 _ _ O
； _ _ O
次 _ _ O
王 _ _ B-W2
氏 _ _ I-W2
， _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
尚 _ _ O
書 _ _ O
令 _ _ O
超 _ _ O
之 _ _ O
女 _ _ O
， _ _ O
封 _ _ O
榮 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
子 _ _ O
八 _ _ O
人 _ _ O
： _ _ O
長 _ _ O
曰 _ _ O
居 _ _ B-S
厚 _ _ I-S
， _ _ O
大 _ _ O
理 _ _ O
評 _ _ O
事 _ _ O
， _ _ O
早 _ _ O
卒 _ _ O
； _ _ O
次 _ _ O
承 _ _ B-S
裕 _ _ I-S
， _ _ O
尚 _ _ O
書 _ _ O
屯 _ _ O
田 _ _ O
員 _ _ O
外 _ _ O
郎 _ _ O
； _ _ O
宣 _ _ B-S
禮 _ _ I-S
， _ _ O
贊 _ _ O
善 _ _ O
大 _ _ O
夫 _ _ O
； _ _ O
崇 _ _ B-S
讓 _ _ I-S
， _ _ O
著 _ _ O
作 _ _ O
佐 _ _ O
郎 _ _ O
； _ _ O
明 _ _ B-S
遠 _ _ I-S
、 _ _ O
祗 _ _ B-S
德 _ _ I-S
， _ _ O
皆 _ _ O
大 _ _ O
理 _ _ O
評 _ _ O
事 _ _ O
； _ _ O
幾 _ _ B-S
道 _ _ I-S
、 _ _ O
傳 _ _ B-S
正 _ _ I-S
， _ _ O
皆 _ _ O
太 _ _ O
常 _ _ O
寺 _ _ O
太 _ _ O
祝 _ _ O
。 _ _ O
女 _ _ O
六 _ _ O
人 _ _ O
， _ _ O
長 _ _ O
適 _ _ O
戶 _ _ O
部 _ _ O
侍 _ _ O
郎 _ _ O
、 _ _ O
同 _ _ O
中 _ _ O
書 _ _ O
門 _ _ O
下 _ _ O
平 _ _ O
章 _ _ O
事 _ _ O
富 _ _ B-DH
弼 _ _ I-DH
， _ _ O
次 _ _ O
適 _ _ O
禮 _ _ O
部 _ _ O
侍 _ _ O
郎 _ _ O
、 _ _ O
三 _ _ O
司 _ _ O
使 _ _ O
楊 _ _ B-DH
察 _ _ I-DH
， _ _ O
其 _ _ O
四 _ _ O
尚 _ _ O
幼 _ _ O
。 _ _ O
孫 _ _ O
十 _ _ O
有 _ _ O
二 _ _ O
人 _ _ O
。 _ _ O

皇 _ _ O
曾 _ _ O
祖 _ _ O
諱 _ _ O
言 _ _ B-FFF
， _ _ O
滑 _ _ O
州 _ _ O
黎 _ _ O
陽 _ _ O
令 _ _ O
， _ _ O
追 _ _ O
封 _ _ O
許 _ _ O
國 _ _ O
公 _ _ O
。 _ _ O
皇 _ _ O
祖 _ _ O
諱 _ _ O
徹 _ _ B-FF
， _ _ O
左 _ _ O
拾 _ _ O
遺 _ _ O
， _ _ O
追 _ _ O
封 _ _ O
魯 _ _ O
國 _ _ O
公 _ _ O
。 _ _ O
皇 _ _ O
考 _ _ O
諱 _ _ O
祜 _ _ B-F
， _ _ O
尚 _ _ O
書 _ _ O
兵 _ _ O
部 _ _ O
侍 _ _ O
郎 _ _ O
， _ _ O
追 _ _ O
封 _ _ O
晉 _ _ O
國 _ _ O
公 _ _ O
。 _ _ O
皆 _ _ O
累 _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
尚 _ _ O
書 _ _ O
令 _ _ O
兼 _ _ O
中 _ _ O
書 _ _ O
令 _ _ O
。 _ _ O
曾 _ _ O
祖 _ _ O
妣 _ _ O
姚 _ _ B-WFFF
氏 _ _ I-WFFF
， _ _ O
魯 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
祖 _ _ O
妣 _ _ O
田 _ _ B-WFF
氏 _ _ I-WFF
， _ _ O
秦 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
妣 _ _ O
任 _ _ B-WF
氏 _ _ I-WF
， _ _ O
徐 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
； _ _ O
邊 _ _ B-WF
氏 _ _ I-WF
， _ _ O
秦 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
公 _ _ O
之 _ _ O
皇 _ _ O
考 _ _ O
以 _ _ O
文 _ _ O
章 _ _ O
自 _ _ O
顯 _ _ O
漢 _ _ O
、 _ _ O
周 _ _ O
之 _ _ O
際 _ _ O
， _ _ O
逮 _ _ O
事 _ _ O
太 _ _ O
祖 _ _ O
、 _ _ O
太 _ _ O
宗 _ _ O
， _ _ O
爲 _ _ O
名 _ _ O
臣 _ _ O
。 _ _ O

曾 _ _ O
祖 _ _ O
諱 _ _ O
新 _ _ B-FFF
， _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
。 _ _ O
曾 _ _ O
祖 _ _ O
妣 _ _ O
吳 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
齊 _ _ B-WFFF
氏 _ _ I-WFFF
。 _ _ O
祖 _ _ O
諱 _ _ O
贊 _ _ B-FF
明 _ _ I-FF
， _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
中 _ _ O
書 _ _ O
令 _ _ O
。 _ _ O
祖 _ _ O
妣 _ _ O
秦 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
吳 _ _ B-WFF
氏 _ _ I-WFF
。 _ _ O
考 _ _ O
諱 _ _ O
元 _ _ B-F
白 _ _ I-F
， _ _ O
袁 _ _ O
州 _ _ O
宜 _ _ O
春 _ _ O
令 _ _ O
， _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
中 _ _ O
書 _ _ O
令 _ _ O
兼 _ _ O
尚 _ _ O
書 _ _ O
令 _ _ O
、 _ _ O
冀 _ _ O
國 _ _ O
公 _ _ O
。 _ _ O
妣 _ _ O
晉 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
楚 _ _ B-WF
氏 _ _ I-WF
。 _ _ O
娶 _ _ O
陳 _ _ B-WF
氏 _ _ I-WF
， _ _ O
封 _ _ O
衛 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
子 _ _ O
男 _ _ O
四 _ _ O
人 _ _ O
： _ _ O
曰 _ _ O
嗣 _ _ B-S
隆 _ _ I-S
， _ _ O
太 _ _ O
常 _ _ O
博 _ _ O
士 _ _ O
； _ _ O
嗣 _ _ B-S
弼 _ _ I-S
， _ _ O
殿 _ _ O
中 _ _ O
丞 _ _ O
； _ _ O
嗣 _ _ B-S
恭 _ _ I-S
， _ _ O
太 _ _ O
常 _ _ O
博 _ _ O
士 _ _ O
； _ _ O
嗣 _ _ B-S
先 _ _ I-S
， _ _ O
大 _ _ O
理 _ _ O
寺 _ _ O
丞 _ _ O
。 _ _ O
女 _ _ O
五 _ _ O
人 _ _ O
， _ _ O
皆 _ _ O
適 _ _ O
良 _ _ O
族 _ _ O
。 _ _ O
謹 _ _ O
按 _ _ O
程 _ _ O
氏 _ _ O
之 _ _ O
先 _ _ O
， _ _ O
出 _ _ O
自 _ _ O
重 _ _ O
黎 _ _ O
。 _ _ O
至 _ _ O
休 _ _ O
父 _ _ O
， _ _ O
爲 _ _ O
周 _ _ O
司 _ _ O
馬 _ _ O
， _ _ O
國 _ _ O
於 _ _ O
程 _ _ O
， _ _ O
其 _ _ O
後 _ _ O
子 _ _ O
孫 _ _ O
遂 _ _ O
以 _ _ O
爲 _ _ O
氏 _ _ O
。 _ _ O

公 _ _ O
世 _ _ O
爲 _ _ O
中 _ _ O
山 _ _ O
博 _ _ O
野 _ _ O
人 _ _ O
。 _ _ O
曾 _ _ O
祖 _ _ O
諱 _ _ O
某 _ _ B-FFF
。 _ _ O
祖 _ _ O
諱 _ _ O
某 _ _ B-FF
， _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
。 _ _ O
祖 _ _ O
妣 _ _ O
齊 _ _ B-WFF
氏 _ _ I-WFF
， _ _ O
吴 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
考 _ _ O
諱 _ _ O
某 _ _ B-F
， _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
中 _ _ O
書 _ _ O
令 _ _ O
。 _ _ O
妣 _ _ O
吳 _ _ B-WF
氏 _ _ I-WF
， _ _ O
秦 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
當 _ _ O
唐 _ _ O
末 _ _ O
五 _ _ O
代 _ _ O
， _ _ O
天 _ _ O
下 _ _ O
亂 _ _ O
於 _ _ O
兵 _ _ O
， _ _ O
程 _ _ O
氏 _ _ O
再 _ _ O
世 _ _ O
不 _ _ O
仕 _ _ O
。 _ _ O
後 _ _ O
唐 _ _ O
長 _ _ O
興 _ _ O
三 _ _ O
年 _ _ O
， _ _ O
公 _ _ O
之 _ _ O
皇 _ _ O
考 _ _ O
以 _ _ O
神 _ _ O
童 _ _ O
舉 _ _ O
， _ _ O
官 _ _ O
至 _ _ O
太 _ _ O
子 _ _ O
贊 _ _ O
善 _ _ O
大 _ _ O
夫 _ _ O
。 _ _ O
宋 _ _ O
興 _ _ O
於 _ _ O
今 _ _ O
百 _ _ O
年 _ _ O
， _ _ O
而 _ _ O
程 _ _ O
氏 _ _ O
亦 _ _ O
再 _ _ O
顯 _ _ O
。 _ _ O
太 _ _ O
平 _ _ O
興 _ _ O
國 _ _ O
初 _ _ O
， _ _ O
公 _ _ O
之 _ _ O
從 _ _ O
祖 _ _ O
羽 _ _ O
， _ _ O
佐 _ _ O
太 _ _ O
宗 _ _ O
自 _ _ O
晉 _ _ O
王 _ _ O
即 _ _ O
皇 _ _ O
帝 _ _ O
位 _ _ O
， _ _ O
爲 _ _ O
文 _ _ O
明 _ _ O
殿 _ _ O
學 _ _ O
士 _ _ O
， _ _ O
官 _ _ O
至 _ _ O
兵 _ _ O
部 _ _ O
侍 _ _ O
郎 _ _ O
。 _ _ O
今 _ _ O
相 _ _ O
國 _ _ O
太 _ _ O
師 _ _ O
出 _ _ O
入 _ _ O
將 _ _ O
相 _ _ O
， _ _ O
爲 _ _ O
時 _ _ O
名 _ _ O
臣 _ _ O
。 _ _ O
子 _ _ O
孫 _ _ O
蕃 _ _ O
昌 _ _ O
， _ _ O
世 _ _ O
族 _ _ O
昭 _ _ O
著 _ _ O
。 _ _ O
推 _ _ O
其 _ _ O
所 _ _ O
自 _ _ O
來 _ _ O
者 _ _ O
遠 _ _ O
矣 _ _ O
。 _ _ O
夫 _ _ O
人 _ _ O
楚 _ _ B-W1
氏 _ _ I-W1
， _ _ O
追 _ _ O
封 _ _ O
晉 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
子 _ _ O
男 _ _ O
五 _ _ O
人 _ _ O
： _ _ O
長 _ _ O
曰 _ _ O
瓘 _ _ B-S
， _ _ O
官 _ _ O
至 _ _ O
太 _ _ O
常 _ _ O
博 _ _ O
士 _ _ O
； _ _ O
次 _ _ O
曰 _ _ O
瑗 _ _ B-S
、 _ _ O
曰 _ _ O
琬 _ _ B-S
， _ _ O
皆 _ _ O
早 _ _ O
卒 _ _ O
； _ _ O
次 _ _ O
曰 _ _ O
琳 _ _ B-S
， _ _ O
相 _ _ O
國 _ _ O
太 _ _ O
師 _ _ O
也 _ _ O
； _ _ O
次 _ _ O
曰 _ _ O
琰 _ _ B-S
， _ _ O
國 _ _ O
子 _ _ O
博 _ _ O
士 _ _ O
。 _ _ O
女 _ _ O
一 _ _ O
人 _ _ O
， _ _ O
適 _ _ O
某 _ _ O
人 _ _ O
。 _ _ O
諸 _ _ O
孫 _ _ O
九 _ _ O
人 _ _ O
。 _ _ O

自 _ _ O
唐 _ _ O
同 _ _ O
光 _ _ O
初 _ _ O
， _ _ O
公 _ _ O
之 _ _ O
皇 _ _ O
曾 _ _ O
祖 _ _ O
魯 _ _ B-FFF
公 _ _ I-FFF
舉 _ _ O
進 _ _ O
士 _ _ O
第 _ _ O
一 _ _ O
， _ _ O
顯 _ _ O
名 _ _ O
當 _ _ O
時 _ _ O
， _ _ O
官 _ _ O
至 _ _ O
右 _ _ O
拾 _ _ O
遺 _ _ O
， _ _ O
歷 _ _ O
